SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
511218,SHRIRAM TRAN,A ,Q,1044.55,1044.55,1009.00,1018.10,1010.00,1033.70,2928,41489,42395916.00,,INE721A01013,02-Aug-17,,
511243,CHOLAFIN    ,A ,Q,1178.60,1183.00,1165.00,1173.50,1170.15,1178.60,331,3526,4137148.00,,INE121A01016,02-Aug-17,,
511288,GRUH FINANCE,A ,Q,503.20,506.35,495.80,501.65,501.65,503.20,697,16238,8130532.00,,INE580B01029,02-Aug-17,,
511333,VLS FINANCE ,B ,Q,68.40,68.40,65.30,65.65,65.40,66.85,232,15451,1020314.00,,INE709A01018,02-Aug-17,,
511355,IND CEM CAP ,XD,Q,4.04,4.04,4.04,4.04,4.04,3.85,4,1025,4141.00,,INE429D01017,02-Aug-17,,
511359,AD-MANUM FIN,XD,Q,26.50,28.35,26.50,28.05,28.00,27.00,15,3912,109520.00,,INE556D01017,02-Aug-17,,
511389,VIDEOCON IND,A ,Q,23.25,23.70,22.55,22.60,22.60,23.65,1546,373351,8542157.00,,INE703A01011,02-Aug-17,,
511391,INTER GLOB F,XT,Q,31.50,31.50,28.80,31.50,31.50,30.00,9,710,22149.00,,INE661M01016,02-Aug-17,,
511411,SHRISTINFRA ,XC,Q,325.00,325.00,316.00,323.95,324.00,332.95,10,110,35348.00,,INE472C01027,02-Aug-17,,
511413,CREST       ,B ,Q,190.00,190.00,184.50,186.70,187.00,186.90,16,762,142502.00,XD,INE559D01011,02-Aug-17,,
511431,VAKRANGEE   ,A ,Q,448.00,454.05,448.00,451.45,451.45,445.95,1423,48191,21751764.00,,INE051B01021,02-Aug-17,,
511451,DHARANI FIN.,XT,Q,9.25,9.25,9.25,9.25,9.25,9.25,2,35,323.00,,INE899D01011,02-Aug-17,,
511473,IND.BANK MER,B ,Q,17.30,17.95,17.30,17.55,17.45,17.15,53,11210,197121.00,,INE841B01017,02-Aug-17,,
511493,VCK CAPITAL ,XT,Q,0.81,0.82,0.81,0.82,0.82,0.85,6,28852,23380.00,,INE488C01015,02-Aug-17,,
511501,BHARAT BHUSH,XD,Q,15.95,17.15,15.95,16.55,16.55,16.35,24,6661,114055.00,,INE900A01013,02-Aug-17,,
511505,CAPITAL TRUS,B ,Q,457.00,465.00,450.00,453.10,458.95,471.35,141,1973,896699.00,XD,INE707C01018,02-Aug-17,,
511509,VIVO BIO TEC,XT,Q,73.10,80.45,73.10,73.10,73.10,76.90,10,364,26916.00,,INE380K01017,02-Aug-17,,
511523,VEERHEALTH  ,XD,Q,9.25,10.05,9.25,10.00,10.00,10.10,7,3026,29144.00,,INE882C01035,02-Aug-17,,
511525,PAN INDIA C ,T ,Q,0.23,0.23,0.23,0.23,0.23,0.22,5,2015,463.00,,INE376A01032,02-Aug-17,,
511533,SAHARA HOUSG,XD,Q,78.95,78.95,73.30,75.85,75.00,76.90,13,134,10092.00,,INE135C01012,02-Aug-17,,
511551,MONARCH     ,XD,Q,71.00,74.00,69.55,71.10,70.65,71.70,81,21709,1548851.00,,INE903D01011,02-Aug-17,,
511557,PRO FIN CAP.,XT,Q,214.00,218.00,212.55,217.75,217.85,216.95,59,32351,7006073.00,,INE732K01019,02-Aug-17,,
511559,TIMES GUARAN,B ,Q,33.70,33.70,33.70,33.70,33.70,32.80,1,20,674.00,,INE289C01025,02-Aug-17,,
